SARSA_mean,Q_mean,SARSA_std,Q_std
-9.02,-12.48,28.52,39.47
-10.27,-12.84,32.49,40.62
-10.91,-11.67,34.51,36.89
-11.09,-11.36,35.09,35.94
-11.26,-11.59,35.59,36.66
-11.17,-11.15,35.33,35.26
-10.85,-11.30,34.30,35.73
-10.97,-10.93,34.70,34.55
-11.05,-11.37,34.94,35.96
-10.98,-11.30,34.73,35.75
-11.09,-11.27,35.07,35.62
-11.17,-11.15,35.32,35.26
-10.87,-11.22,34.38,35.49
-10.77,-11.12,34.05,35.16
-10.61,-11.06,33.55,34.98
-10.57,-10.97,33.44,34.68
-10.62,-11.14,33.58,35.24
-10.59,-10.98,33.48,34.71
-10.53,-11.06,33.31,34.97
-10.47,-11.06,33.10,34.96
-10.54,-10.96,33.35,34.66
-10.31,-10.92,32.61,34.52
-10.20,-10.98,32.27,34.72
-10.12,-11.05,32.00,34.95
-10.00,-11.17,31.62,35.31
-9.95,-11.04,31.47,34.90
-10.04,-10.89,31.74,34.44
-10.14,-10.76,32.07,34.01
-10.10,-10.69,31.94,33.81
-10.13,-10.60,32.04,33.53
-10.13,-10.49,32.05,33.19
-10.16,-10.38,32.12,32.82
-10.10,-10.29,31.94,32.53
-10.09,-10.28,31.90,32.52
-9.99,-10.23,31.58,32.34
-9.97,-10.12,31.52,32.00
-9.86,-10.11,31.19,31.96
-9.79,-10.08,30.96,31.87
-9.75,-10.06,30.84,31.81
-9.68,-9.97,30.61,31.54
-9.65,-9.94,30.51,31.45
-9.63,-9.90,30.45,31.30
-9.60,-9.83,30.35,31.09
-9.60,-9.83,30.37,31.10
-9.55,-9.78,30.19,30.93
-9.49,-9.79,30.00,30.97
-9.46,-9.73,29.90,30.77
-9.38,-9.66,29.65,30.54
-9.30,-9.60,29.40,30.35
-9.28,-9.63,29.34,30.45
-9.20,-9.62,29.09,30.41
-9.19,-9.54,29.05,30.17
-9.18,-9.56,29.02,30.23
-9.13,-9.49,28.86,29.99
-9.16,-9.48,28.97,29.99
-9.15,-9.50,28.94,30.03
-9.10,-9.41,28.79,29.77
-9.14,-9.42,28.89,29.79
-9.13,-9.40,28.88,29.71
-9.11,-9.35,28.82,29.57
-9.09,-9.36,28.75,29.58
-9.09,-9.33,28.75,29.51
-9.06,-9.33,28.65,29.51
-9.05,-9.34,28.62,29.55
-9.01,-9.33,28.50,29.49
-9.01,-9.29,28.48,29.39
-8.98,-9.28,28.41,29.34
-8.94,-9.25,28.28,29.26
-8.92,-9.25,28.22,29.24
-8.91,-9.24,28.18,29.22
-8.86,-9.22,28.02,29.16
-8.84,-9.20,27.95,29.08
-8.83,-9.18,27.91,29.03
-8.83,-9.15,27.93,28.95
-8.83,-9.14,27.91,28.90
-8.80,-9.10,27.83,28.78
-8.79,-9.09,27.80,28.75
-8.75,-9.09,27.68,28.76
-8.71,-9.06,27.54,28.66
-8.70,-9.06,27.51,28.65
-8.70,-9.05,27.51,28.63
-8.70,-9.05,27.51,28.61
-8.69,-9.04,27.47,28.58
-8.66,-9.02,27.38,28.51
-8.66,-9.03,27.39,28.57
-8.70,-9.02,27.50,28.51
-8.70,-8.98,27.52,28.41
-8.68,-8.96,27.46,28.35
