SARSA_mean,Q_mean,SARSA_std,Q_std
-15.33,-18.10,48.48,57.24
-17.99,-19.65,56.91,62.14
-18.59,-19.81,58.78,62.64
-18.68,-18.53,59.06,58.61
-19.56,-19.44,61.85,61.46
-18.92,-19.63,59.82,62.07
-19.08,-20.07,60.33,63.47
-19.35,-19.78,61.20,62.56
-19.62,-19.61,62.04,62.00
-19.27,-19.59,60.94,61.95
-19.22,-19.27,60.77,60.94
-18.88,-19.50,59.70,61.66
-18.92,-19.49,59.83,61.63
-18.87,-19.34,59.69,61.16
-19.05,-19.18,60.23,60.66
-18.76,-19.00,59.33,60.09
-18.66,-19.29,59.02,61.00
-18.53,-19.18,58.59,60.66
-18.46,-19.20,58.37,60.71
-18.35,-19.16,58.04,60.59
-18.15,-19.12,57.40,60.47
-18.07,-19.06,57.16,60.29
-18.26,-18.90,57.75,59.76
-18.13,-18.80,57.34,59.45
-18.11,-18.76,57.28,59.34
-18.14,-18.67,57.38,59.04
-18.15,-18.56,57.40,58.68
-17.95,-18.54,56.78,58.64
-17.96,-18.43,56.79,58.28
-17.93,-18.39,56.70,58.14
-17.84,-18.47,56.40,58.39
-17.94,-18.46,56.74,58.36
-17.88,-18.50,56.55,58.51
-17.74,-18.50,56.10,58.49
-17.71,-18.64,56.00,58.95
-17.64,-18.58,55.78,58.77
-17.51,-18.57,55.38,58.71
-17.49,-18.50,55.31,58.50
-17.47,-18.47,55.26,58.40
-17.48,-18.53,55.29,58.59
-17.41,-18.48,55.07,58.45
-17.34,-18.42,54.83,58.23
-17.36,-18.34,54.91,58.01
-17.27,-18.33,54.60,57.96
-17.31,-18.32,54.74,57.94
-17.30,-18.27,54.71,57.77
-17.23,-18.14,54.49,57.38
-17.19,-18.04,54.34,57.05
-17.19,-17.94,54.35,56.73
-17.16,-17.88,54.27,56.53
-17.09,-17.75,54.03,56.14
-17.05,-17.72,53.91,56.03
-16.93,-17.65,53.54,55.80
-16.96,-17.59,53.63,55.63
-16.91,-17.51,53.48,55.38
-16.93,-17.49,53.54,55.31
-16.90,-17.51,53.44,55.36
-16.94,-17.43,53.56,55.11
-16.92,-17.44,53.50,55.16
-16.91,-17.42,53.48,55.10
-16.93,-17.35,53.55,54.87
-16.95,-17.35,53.60,54.88
-16.98,-17.38,53.68,54.95
-16.98,-17.33,53.71,54.80
-16.92,-17.30,53.49,54.72
-16.92,-17.30,53.49,54.70
-16.91,-17.31,53.48,54.73
-16.86,-17.27,53.31,54.61
-16.81,-17.30,53.15,54.69
-16.80,-17.26,53.12,54.57
-16.79,-17.24,53.10,54.51
-16.78,-17.21,53.06,54.41
-16.76,-17.22,53.00,54.45
-16.71,-17.18,52.84,54.33
-16.72,-17.11,52.89,54.10
-16.79,-17.10,53.11,54.09
-16.79,-17.10,53.09,54.07
-16.79,-17.09,53.11,54.04
-16.73,-17.09,52.92,54.04
-16.69,-17.06,52.77,53.94
-16.64,-17.05,52.61,53.92
-16.67,-17.00,52.73,53.75
-16.64,-16.96,52.62,53.64
-16.63,-16.87,52.58,53.35
-16.64,-16.82,52.62,53.20
-16.58,-16.75,52.44,52.98
-16.56,-16.69,52.37,52.79
-16.54,-16.73,52.29,52.89
-16.51,-16.70,52.21,52.81
-16.48,-16.73,52.10,52.90
-16.46,-16.72,52.04,52.88
-16.43,-16.65,51.97,52.65
-16.44,-16.64,51.99,52.62
-16.47,-16.64,52.09,52.62
-16.43,-16.63,51.95,52.58
-16.38,-16.65,51.79,52.64
-16.37,-16.64,51.76,52.64
-16.35,-16.64,51.70,52.62
-16.30,-16.61,51.53,52.54
-16.29,-16.58,51.51,52.42
-16.29,-16.55,51.50,52.33
-16.28,-16.49,51.47,52.16
-16.28,-16.45,51.47,52.02
-16.24,-16.43,51.35,51.95
-16.26,-16.44,51.41,52.00
-16.24,-16.44,51.37,51.99
-16.21,-16.40,51.25,51.86
-16.21,-16.36,51.26,51.74
-16.17,-16.33,51.13,51.64
-16.14,-16.35,51.04,51.70
-16.10,-16.31,50.90,51.57
-16.09,-16.29,50.87,51.50
-16.06,-16.27,50.78,51.44
-16.04,-16.25,50.72,51.39
-16.03,-16.23,50.69,51.33
-16.01,-16.22,50.63,51.29
-16.02,-16.20,50.67,51.22
-16.05,-16.19,50.75,51.21
-16.05,-16.18,50.75,51.17
-16.05,-16.19,50.76,51.19
-16.02,-16.19,50.67,51.21
-15.98,-16.16,50.54,51.11
-15.97,-16.11,50.51,50.94
-15.95,-16.12,50.45,50.96
-15.94,-16.12,50.42,50.98
-15.95,-16.18,50.45,51.16
-15.96,-16.15,50.46,51.08
-15.94,-16.13,50.39,51.00
-15.91,-16.12,50.30,50.97
