SARSA_mean,Q_mean,SARSA_std,Q_std
-18.00,-21.18,56.92,66.98
-16.66,-19.24,52.68,60.84
-17.19,-17.66,54.37,55.86
-16.73,-17.55,52.91,55.51
-16.71,-17.16,52.85,54.27
-17.05,-17.10,53.93,54.07
-17.40,-17.36,55.01,54.89
-17.31,-17.66,54.75,55.86
-17.71,-17.60,56.01,55.65
-17.37,-17.46,54.94,55.21
-17.30,-17.94,54.72,56.72
-17.22,-17.95,54.47,56.77
-17.53,-17.58,55.45,55.58
-17.75,-17.57,56.14,55.57
-17.52,-17.37,55.39,54.94
-17.30,-17.65,54.70,55.80
-17.43,-17.47,55.13,55.23
-17.37,-17.20,54.94,54.39
-17.33,-17.17,54.81,54.29
-17.44,-17.18,55.15,54.32
-17.29,-17.11,54.69,54.12
-17.11,-16.97,54.12,53.66
-17.12,-16.80,54.14,53.13
-17.10,-16.73,54.06,52.90
-16.90,-16.80,53.43,53.11
-16.91,-16.65,53.48,52.64
-16.86,-16.47,53.33,52.09
-16.87,-16.57,53.36,52.41
-17.00,-16.61,53.77,52.52
-16.88,-16.55,53.38,52.33
-16.85,-16.62,53.27,52.56
-16.89,-16.58,53.41,52.43
-16.75,-16.60,52.97,52.48
-16.74,-16.55,52.94,52.33
-16.58,-16.50,52.44,52.19
-16.49,-16.31,52.15,51.59
-16.56,-16.36,52.36,51.73
-16.62,-16.30,52.57,51.53
-16.68,-16.27,52.75,51.45
-16.70,-16.18,52.82,51.15
-16.68,-16.16,52.75,51.09
-16.66,-16.20,52.69,51.24
-16.55,-16.19,52.35,51.20
-16.62,-16.19,52.55,51.19
-16.49,-16.09,52.14,50.87
-16.40,-16.09,51.85,50.87
-16.44,-16.04,51.98,50.71
-16.38,-15.97,51.79,50.51
-16.36,-15.89,51.73,50.23
-16.36,-15.77,51.75,49.86
-16.40,-15.74,51.85,49.76
-16.53,-15.64,52.28,49.46
-16.49,-15.61,52.15,49.35
-16.45,-15.60,52.03,49.33
-16.48,-15.62,52.11,49.38
-16.41,-15.59,51.90,49.31
-16.39,-15.64,51.83,49.45
-16.46,-15.59,52.06,49.30
-16.44,-15.56,51.99,49.21
-16.42,-15.50,51.91,49.03
-16.39,-15.51,51.84,49.04
-16.32,-15.51,51.59,49.06
-16.30,-15.58,51.53,49.27
-16.26,-15.53,51.41,49.11
-16.19,-15.58,51.20,49.27
-16.12,-15.55,50.98,49.17
-16.08,-15.61,50.85,49.35
-16.03,-15.58,50.70,49.27
-15.97,-15.64,50.51,49.44
-15.90,-15.61,50.27,49.36
-15.89,-15.57,50.26,49.23
