SARSA_mean,Q_mean,SARSA_std,Q_std
-11.15,-9.25,35.26,29.25
-11.50,-10.62,36.37,33.58
-12.43,-11.20,39.30,35.42
-12.25,-11.01,38.75,34.83
-12.14,-10.59,38.38,33.48
-12.77,-10.72,40.38,33.89
-12.65,-10.85,40.00,34.31
-12.97,-10.69,41.01,33.81
-13.09,-11.04,41.38,34.92
-12.44,-11.46,39.34,36.24
-12.58,-11.72,39.78,37.07
-12.60,-11.76,39.83,37.19
-12.48,-11.64,39.48,36.80
-12.75,-11.69,40.31,36.96
-12.63,-11.56,39.95,36.57
-12.90,-11.75,40.80,37.16
-12.78,-11.57,40.41,36.60
-12.65,-11.80,40.02,37.33
-12.77,-11.84,40.38,37.45
-12.69,-11.75,40.15,37.15
-12.71,-11.68,40.19,36.93
-12.65,-11.43,40.00,36.15
-12.84,-11.29,40.62,35.71
-12.69,-11.36,40.11,35.94
-12.61,-11.24,39.88,35.55
-12.65,-11.21,40.00,35.46
-12.77,-11.25,40.38,35.57
-12.68,-11.28,40.09,35.66
-12.58,-11.36,39.79,35.93
-12.46,-11.39,39.39,36.03
-12.31,-11.34,38.92,35.85
-12.30,-11.25,38.89,35.57
-12.21,-11.31,38.60,35.77
-12.24,-11.30,38.70,35.74
-12.13,-11.32,38.35,35.80
-12.03,-11.24,38.06,35.54
-11.92,-11.18,37.70,35.37
-11.90,-11.17,37.65,35.34
-11.79,-11.15,37.30,35.25
-11.76,-11.10,37.18,35.11
-11.72,-11.12,37.05,35.15
-11.69,-10.99,36.98,34.75
-11.65,-11.00,36.83,34.80
-11.56,-10.99,36.56,34.74
-11.49,-10.98,36.32,34.73
-11.48,-11.02,36.31,34.84
-11.45,-10.98,36.22,34.72
-11.38,-10.91,35.99,34.50
-11.31,-10.88,35.77,34.41
-11.28,-10.80,35.67,34.15
-11.29,-10.79,35.70,34.13
-11.34,-10.73,35.87,33.94
-11.29,-10.71,35.69,33.86
-11.26,-10.66,35.61,33.72
-11.25,-10.62,35.57,33.59
-11.23,-10.64,35.50,33.64
-11.22,-10.55,35.47,33.37
-11.14,-10.51,35.22,33.23
-11.14,-10.43,35.23,32.99
-11.11,-10.38,35.13,32.82
-11.06,-10.31,34.98,32.62
-11.03,-10.28,34.88,32.49
-11.04,-10.30,34.90,32.57
-11.00,-10.25,34.78,32.40
-10.96,-10.19,34.65,32.21
-10.96,-10.15,34.66,32.11
-10.89,-10.11,34.43,31.96
-10.84,-10.08,34.26,31.87
-10.80,-10.03,34.15,31.72
-10.79,-10.01,34.12,31.65
-10.74,-9.96,33.96,31.49
-10.70,-9.96,33.84,31.51
-10.68,-9.94,33.76,31.43
-10.66,-9.90,33.70,31.32
-10.64,-9.89,33.63,31.28
-10.60,-9.85,33.51,31.15
-10.58,-9.80,33.46,30.99
-10.54,-9.78,33.32,30.93
-10.54,-9.74,33.34,30.80
-10.54,-9.69,33.32,30.65
-10.52,-9.66,33.26,30.56
-10.50,-9.63,33.19,30.44
-10.48,-9.63,33.16,30.44
-10.43,-9.58,32.98,30.30
-10.46,-9.57,33.09,30.27
-10.46,-9.57,33.08,30.27
-10.42,-9.54,32.96,30.16
-10.37,-9.50,32.78,30.05
-10.33,-9.49,32.66,30.02
-10.29,-9.51,32.54,30.07
-10.24,-9.54,32.37,30.18
-10.24,-9.53,32.39,30.15
-10.20,-9.55,32.26,30.21
-10.16,-9.53,32.14,30.13
-10.13,-9.50,32.04,30.04
-10.12,-9.49,32.00,30.01
-10.08,-9.46,31.87,29.90
-10.06,-9.45,31.81,29.88
-10.05,-9.44,31.78,29.86
-10.04,-9.40,31.73,29.73
-10.02,-9.41,31.69,29.76
-10.01,-9.37,31.64,29.63
-10.00,-9.35,31.62,29.56
-9.99,-9.33,31.58,29.50
-10.01,-9.32,31.65,29.49
-10.01,-9.33,31.66,29.51
-10.00,-9.32,31.63,29.48
-10.00,-9.32,31.61,29.49
-9.97,-9.31,31.52,29.43
-9.95,-9.28,31.46,29.34
-9.95,-9.25,31.48,29.26
-9.95,-9.25,31.48,29.27
-9.94,-9.24,31.45,29.21
-9.91,-9.23,31.32,29.19
-9.90,-9.21,31.32,29.12
-9.90,-9.22,31.32,29.15
-9.94,-9.20,31.43,29.10
-9.92,-9.19,31.38,29.06
-9.90,-9.19,31.32,29.05
-9.90,-9.17,31.32,29.00
-9.88,-9.15,31.24,28.94
-9.86,-9.15,31.18,28.92
-9.84,-9.14,31.13,28.90
-9.83,-9.12,31.09,28.85
-9.80,-9.12,30.98,28.83
-9.78,-9.10,30.93,28.78
-9.76,-9.08,30.85,28.71
