SARSA_mean,Q_mean,SARSA_std,Q_std
-16.71,-18.80,52.84,59.45
-17.00,-15.35,53.77,48.54
-16.36,-15.27,51.72,48.30
-15.97,-13.98,50.52,44.21
-15.42,-13.81,48.76,43.68
-14.84,-13.79,46.93,43.62
-14.46,-13.52,45.72,42.75
-14.32,-14.20,45.29,44.91
-14.16,-13.64,44.78,43.14
-13.70,-13.48,43.34,42.62
-13.16,-13.12,41.63,41.50
-12.96,-13.04,41.00,41.23
-12.96,-12.71,41.00,40.20
-13.03,-12.73,41.19,40.24
-13.10,-12.64,41.42,39.97
-12.95,-12.47,40.95,39.43
-12.82,-12.39,40.53,39.19
-12.64,-12.11,39.96,38.30
-12.60,-11.90,39.83,37.62
-12.43,-11.91,39.30,37.65
-12.30,-11.72,38.91,37.06
-12.31,-11.61,38.93,36.73
-12.22,-11.51,38.65,36.40
-12.09,-11.45,38.22,36.22
-11.89,-11.40,37.61,36.03
-11.75,-11.25,37.17,35.57
-11.59,-11.14,36.64,35.24
-11.52,-11.04,36.44,34.93
-11.42,-10.83,36.12,34.26
-11.35,-10.76,35.90,34.02
-11.30,-10.76,35.74,34.04
-11.14,-10.76,35.22,34.03
-11.18,-10.80,35.35,34.16
-11.09,-10.76,35.06,34.02
-11.06,-10.84,34.99,34.29
-11.05,-10.84,34.96,34.29
-11.03,-10.78,34.89,34.10
-10.93,-10.83,34.55,34.25
-10.86,-10.88,34.33,34.40
-10.80,-10.85,34.14,34.31
-10.75,-10.78,34.00,34.10
-10.64,-10.76,33.66,34.04
-10.59,-10.74,33.50,33.97
-10.62,-10.73,33.59,33.92
-10.53,-10.71,33.31,33.88
-10.54,-10.66,33.34,33.71
-10.56,-10.65,33.39,33.69
-10.48,-10.59,33.15,33.50
-10.47,-10.52,33.12,33.28
-10.38,-10.59,32.84,33.49
-10.37,-10.59,32.80,33.48
-10.33,-10.61,32.65,33.55
-10.30,-10.56,32.57,33.40
-10.28,-10.49,32.51,33.17
-10.25,-10.42,32.40,32.95
