SARSA_mean,Q_mean,SARSA_std,Q_std
-18.81,-17.14,59.48,54.20
-18.32,-15.79,57.93,49.95
-17.35,-15.60,54.85,49.32
-15.99,-16.71,50.57,52.85
-15.90,-16.27,50.27,51.45
-16.15,-16.31,51.06,51.59
-16.08,-15.97,50.84,50.52
-15.22,-15.58,48.13,49.26
-15.17,-15.76,47.96,49.84
-15.09,-15.71,47.73,49.67
-14.85,-15.63,46.96,49.42
-15.05,-15.47,47.58,48.92
-14.64,-15.31,46.29,48.42
-14.38,-15.20,45.46,48.08
-14.33,-15.03,45.33,47.51
-14.22,-14.95,44.96,47.26
-14.14,-14.92,44.73,47.19
-14.11,-14.79,44.64,46.79
-14.22,-14.91,44.97,47.16
-14.28,-14.80,45.15,46.81
-14.45,-14.65,45.69,46.33
-14.37,-14.46,45.43,45.74
-14.30,-14.41,45.22,45.56
-14.29,-14.34,45.20,45.35
-14.28,-14.37,45.14,45.43
-14.08,-14.24,44.52,45.02
-14.04,-14.39,44.40,45.51
-13.93,-14.46,44.04,45.72
-13.90,-14.44,43.95,45.66
-13.81,-14.36,43.66,45.42
-13.71,-14.28,43.35,45.16
-13.61,-14.18,43.04,44.83
-13.58,-14.02,42.96,44.32
-13.50,-13.94,42.70,44.08
-13.50,-14.01,42.69,44.29
-13.43,-13.98,42.46,44.22
-13.38,-13.88,42.31,43.88
-13.33,-13.76,42.15,43.52
-13.42,-13.70,42.45,43.33
-13.38,-13.67,42.31,43.24
-13.34,-13.68,42.20,43.25
-13.33,-13.63,42.14,43.10
-13.28,-13.50,42.01,42.69
-13.21,-13.52,41.78,42.77
-13.17,-13.48,41.64,42.62
-13.23,-13.48,41.85,42.62
-13.26,-13.46,41.92,42.56
-13.26,-13.44,41.94,42.50
-13.25,-13.40,41.91,42.38
-13.26,-13.34,41.92,42.18
-13.23,-13.31,41.83,42.10
-13.16,-13.41,41.63,42.41
-13.17,-13.40,41.64,42.37
-13.12,-13.42,41.49,42.45
-13.11,-13.36,41.47,42.26
-13.05,-13.30,41.26,42.06
-13.05,-13.36,41.26,42.26
-13.02,-13.30,41.17,42.05
-12.97,-13.25,41.02,41.91
-12.93,-13.19,40.89,41.73
-12.95,-13.16,40.94,41.60
-12.92,-13.12,40.86,41.48
-12.93,-13.07,40.88,41.34
-12.93,-13.06,40.88,41.31
-12.96,-13.02,40.98,41.19
-12.97,-13.03,41.01,41.19
-12.95,-12.97,40.95,41.00
-12.94,-12.94,40.91,40.92
-12.89,-12.93,40.77,40.88
-12.91,-12.90,40.83,40.79
-12.90,-12.92,40.80,40.84
-12.87,-12.87,40.71,40.71
-12.85,-12.80,40.63,40.48
-12.83,-12.77,40.57,40.38
-12.82,-12.76,40.53,40.36
-12.82,-12.75,40.54,40.32
-12.82,-12.76,40.55,40.36
-12.80,-12.74,40.49,40.29
-12.75,-12.77,40.31,40.38
-12.71,-12.76,40.18,40.36
-12.68,-12.73,40.11,40.24
-12.65,-12.71,40.01,40.19
-12.62,-12.73,39.92,40.25
-12.61,-12.75,39.88,40.31
-12.63,-12.72,39.92,40.24
-12.68,-12.74,40.10,40.28
-12.67,-12.72,40.08,40.24
-12.67,-12.73,40.05,40.27
-12.66,-12.73,40.03,40.27
-12.62,-12.74,39.90,40.29
-12.60,-12.75,39.86,40.32
-12.57,-12.78,39.76,40.41
-12.58,-12.76,39.79,40.34
-12.54,-12.76,39.65,40.34
-12.55,-12.75,39.69,40.31
-12.52,-12.71,39.58,40.20
-12.52,-12.73,39.60,40.25
-12.51,-12.71,39.57,40.21
-12.49,-12.68,39.49,40.09
-12.46,-12.67,39.41,40.07
-12.46,-12.66,39.39,40.02
-12.43,-12.63,39.29,39.95
-12.43,-12.60,39.30,39.85
-12.40,-12.63,39.21,39.95
-12.37,-12.67,39.10,40.06
-12.39,-12.66,39.19,40.03
-12.40,-12.63,39.21,39.95
-12.41,-12.60,39.24,39.85
-12.38,-12.62,39.13,39.89
-12.37,-12.63,39.12,39.94
-12.38,-12.64,39.16,39.96
-12.37,-12.65,39.11,40.00
-12.42,-12.65,39.28,39.99
-12.39,-12.66,39.18,40.03
-12.37,-12.66,39.12,40.04
-12.35,-12.65,39.04,39.99
-12.34,-12.63,39.01,39.94
-12.30,-12.63,38.89,39.95
-12.29,-12.61,38.87,39.87
-12.28,-12.61,38.85,39.89
-12.27,-12.61,38.80,39.86
-12.26,-12.58,38.78,39.79
-12.25,-12.59,38.73,39.82
-12.23,-12.59,38.66,39.82
-12.20,-12.58,38.58,39.78
-12.18,-12.56,38.53,39.72
-12.18,-12.52,38.52,39.59
-12.17,-12.51,38.49,39.57
-12.15,-12.50,38.41,39.54
-12.19,-12.50,38.55,39.51
-12.18,-12.48,38.50,39.45
-12.19,-12.47,38.56,39.42
-12.17,-12.44,38.48,39.35
-12.15,-12.43,38.44,39.31
-12.20,-12.44,38.59,39.34
-12.20,-12.45,38.57,39.37
-12.17,-12.42,38.50,39.28
-12.18,-12.40,38.51,39.22
-12.15,-12.41,38.42,39.24
-12.13,-12.39,38.36,39.17
-12.12,-12.39,38.31,39.17
-12.10,-12.38,38.26,39.16
-12.09,-12.37,38.22,39.12
-12.06,-12.35,38.14,39.06
-12.04,-12.34,38.08,39.02
-12.02,-12.33,38.00,38.98
-11.99,-12.34,37.90,39.03
-11.98,-12.34,37.88,39.01
-11.97,-12.32,37.85,38.96
-11.96,-12.30,37.82,38.90
-11.96,-12.28,37.82,38.83
-11.93,-12.27,37.74,38.79
-11.90,-12.24,37.63,38.72
-11.88,-12.24,37.55,38.70
-11.87,-12.22,37.54,38.63
-11.86,-12.23,37.50,38.67
-11.86,-12.23,37.50,38.68
-11.85,-12.22,37.47,38.64
-11.84,-12.19,37.43,38.55
-11.83,-12.19,37.42,38.55
-11.81,-12.20,37.36,38.59
-11.79,-12.21,37.29,38.60
-11.79,-12.19,37.27,38.56
-11.79,-12.19,37.27,38.53
-11.79,-12.18,37.29,38.53
-11.78,-12.17,37.26,38.50
-11.77,-12.16,37.22,38.44
-11.75,-12.14,37.15,38.40
-11.74,-12.13,37.12,38.36
-11.73,-12.12,37.09,38.31
-11.74,-12.12,37.11,38.34
-11.72,-12.10,37.06,38.27
-11.70,-12.10,37.01,38.25
-11.68,-12.09,36.94,38.22
-11.70,-12.07,37.01,38.16
-11.68,-12.05,36.94,38.10
-11.67,-12.05,36.92,38.12
-11.67,-12.07,36.90,38.15
-11.67,-12.05,36.90,38.10
-11.67,-12.03,36.91,38.05
-11.67,-12.02,36.89,38.02
-11.66,-12.02,36.86,38.02
-11.64,-12.00,36.82,37.95
-11.63,-11.98,36.78,37.88
-11.64,-11.96,36.82,37.81
-11.64,-11.94,36.80,37.76
-11.63,-11.93,36.78,37.72
-11.62,-11.92,36.73,37.68
-11.61,-11.91,36.72,37.65
-11.62,-11.89,36.74,37.59
-11.60,-11.88,36.70,37.56
-11.59,-11.86,36.65,37.50
-11.58,-11.86,36.63,37.50
-11.56,-11.85,36.56,37.47
-11.56,-11.84,36.55,37.44
-11.54,-11.84,36.49,37.43
-11.54,-11.83,36.48,37.42
-11.53,-11.83,36.48,37.42
-11.54,-11.82,36.50,37.39
-11.53,-11.81,36.47,37.34
-11.52,-11.79,36.44,37.28
-11.53,-11.79,36.45,37.27
-11.51,-11.79,36.40,37.28
-11.50,-11.77,36.37,37.22
-11.50,-11.78,36.37,37.25
-11.49,-11.78,36.33,37.24
-11.48,-11.76,36.29,37.19
-11.46,-11.76,36.25,37.18
-11.46,-11.76,36.23,37.19
-11.45,-11.74,36.22,37.13
-11.44,-11.73,36.18,37.11
-11.44,-11.71,36.16,37.04
-11.43,-11.70,36.14,37.00
-11.41,-11.69,36.08,36.97
-11.40,-11.69,36.06,36.97
-11.39,-11.68,36.03,36.95
-11.40,-11.69,36.04,36.97
-11.39,-11.69,36.02,36.95
-11.38,-11.68,35.99,36.94
-11.37,-11.67,35.96,36.92
-11.37,-11.66,35.94,36.88
-11.35,-11.65,35.91,36.85
-11.34,-11.65,35.87,36.83
-11.33,-11.63,35.83,36.78
-11.31,-11.62,35.78,36.75
-11.33,-11.61,35.83,36.71
-11.32,-11.60,35.79,36.68
-11.31,-11.59,35.77,36.64
-11.30,-11.57,35.75,36.58
-11.30,-11.56,35.75,36.57
-11.29,-11.55,35.71,36.52
-11.28,-11.55,35.66,36.53
-11.26,-11.55,35.62,36.53
-11.25,-11.55,35.58,36.52
-11.25,-11.54,35.57,36.51
-11.26,-11.54,35.60,36.51
-11.25,-11.54,35.58,36.49
-11.25,-11.53,35.57,36.48
-11.23,-11.53,35.52,36.47
-11.23,-11.55,35.53,36.52
-11.22,-11.53,35.48,36.47
-11.21,-11.53,35.43,36.47
-11.19,-11.53,35.38,36.46
-11.19,-11.52,35.38,36.43
-11.19,-11.51,35.39,36.41
-11.19,-11.50,35.38,36.37
-11.20,-11.51,35.40,36.39
-11.20,-11.50,35.40,36.36
-11.18,-11.49,35.36,36.32
-11.18,-11.48,35.36,36.31
-11.17,-11.46,35.31,36.25
-11.16,-11.46,35.30,36.24
-11.16,-11.46,35.29,36.22
-11.15,-11.45,35.26,36.21
-11.15,-11.46,35.25,36.23
-11.14,-11.45,35.23,36.21
-11.14,-11.44,35.22,36.18
-11.14,-11.43,35.22,36.15
-11.13,-11.43,35.19,36.15
-11.12,-11.44,35.17,36.17
-11.11,-11.43,35.15,36.14
-11.11,-11.42,35.15,36.11
-11.12,-11.41,35.15,36.09
-11.11,-11.41,35.13,36.08
-11.09,-11.40,35.08,36.06
-11.09,-11.40,35.07,36.05
-11.09,-11.40,35.07,36.03
-11.09,-11.40,35.07,36.04
-11.09,-11.40,35.06,36.05
-11.08,-11.40,35.04,36.04
-11.08,-11.38,35.04,36.00
-11.09,-11.37,35.07,35.96
-11.08,-11.36,35.04,35.94
-11.08,-11.36,35.03,35.92
-11.07,-11.35,35.02,35.90
-11.08,-11.35,35.04,35.88
-11.07,-11.34,35.01,35.87
-11.06,-11.34,34.97,35.86
-11.06,-11.34,34.97,35.85
-11.06,-11.33,34.96,35.83
