SARSA_mean,Q_mean,SARSA_std,Q_std
-10.60,-9.39,33.52,29.69
-9.56,-8.57,30.23,27.12
-8.60,-7.97,27.20,25.20
-9.98,-8.74,31.55,27.65
-9.13,-8.55,28.86,27.04
-8.95,-8.35,28.31,26.42
-8.40,-8.23,26.56,26.03
-8.69,-7.79,27.49,24.65
-8.65,-7.67,27.35,24.25
-8.41,-7.60,26.59,24.02
-8.42,-7.68,26.63,24.29
-8.41,-7.59,26.58,24.00
-8.30,-7.74,26.24,24.47
-8.15,-7.51,25.77,23.76
-8.11,-7.44,25.63,23.54
-8.02,-7.70,25.35,24.34
-7.90,-7.64,24.99,24.15
-7.86,-7.67,24.86,24.26
-7.82,-7.69,24.72,24.32
-7.86,-7.62,24.86,24.09
-7.76,-7.63,24.52,24.13
-7.80,-7.61,24.67,24.05
-7.79,-7.51,24.62,23.73
-7.66,-7.51,24.23,23.75
-7.79,-7.47,24.64,23.63
-7.80,-7.46,24.68,23.57
-7.76,-7.43,24.53,23.49
-7.64,-7.45,24.18,23.55
-7.54,-7.42,23.85,23.45
-7.48,-7.48,23.64,23.65
-7.54,-7.48,23.83,23.64
-7.50,-7.54,23.72,23.84
-7.46,-7.50,23.60,23.72
-7.43,-7.43,23.49,23.49
-7.38,-7.41,23.33,23.44
-7.35,-7.42,23.25,23.45
-7.31,-7.44,23.11,23.52
-7.23,-7.40,22.88,23.39
-7.22,-7.32,22.82,23.16
-7.17,-7.29,22.66,23.04
-7.23,-7.21,22.85,22.81
-7.24,-7.24,22.89,22.90
-7.21,-7.21,22.81,22.80
-7.20,-7.18,22.78,22.72
-7.16,-7.16,22.63,22.65
-7.13,-7.12,22.55,22.51
-7.14,-7.10,22.59,22.46
-7.15,-7.06,22.62,22.34
-7.12,-7.03,22.53,22.23
-7.09,-7.01,22.42,22.18
-7.09,-6.97,22.42,22.05
-7.07,-6.94,22.35,21.93
-7.02,-6.91,22.21,21.86
-7.02,-6.89,22.20,21.80
-7.02,-6.89,22.19,21.80
-6.99,-6.91,22.09,21.84
-6.97,-6.90,22.03,21.82
-6.97,-6.89,22.03,21.80
-6.97,-6.90,22.03,21.83
-6.96,-6.92,22.02,21.87
-6.96,-6.90,22.00,21.84
-6.94,-6.90,21.94,21.83
-6.92,-6.94,21.88,21.94
-6.90,-6.94,21.82,21.94
-6.89,-6.89,21.80,21.79
-6.88,-6.89,21.76,21.80
-6.88,-6.89,21.75,21.78
